date,weekend,value,quarter,month,day
2017-12-02,1,21.634,4,12,2
2017-12-03,1,8.4964,4,12,3
2017-12-04,0,9.717,4,12,4
2017-12-05,0,21.893,4,12,5
2017-12-06,0,27.446,4,12,6
2017-12-07,0,25.445,4,12,7
2017-12-08,0,33.197,4,12,8
2017-12-09,1,20.646,4,12,9
2017-12-10,1,21.825,4,12,10
2017-12-11,0,23.692999999999998,4,12,11
2017-12-12,0,10.487,4,12,12
2017-12-13,0,10.748,4,12,13
2017-12-14,0,10.555,4,12,14
2017-12-15,0,11.328,4,12,15
2017-12-16,1,9.84,4,12,16
2017-12-17,1,12.652,4,12,17
2017-12-18,0,8.404,4,12,18
2017-12-19,0,9.175,4,12,19
2017-12-20,0,5.864999999999999,4,12,20
2017-12-21,0,4.794,4,12,21
2017-12-22,0,4.841,4,12,22
2017-12-23,0,4.609999999999999,4,12,23
2017-12-24,0,5.979,4,12,24
2017-12-25,0,6.197,4,12,25
2017-12-26,0,7.618,4,12,26
2017-12-27,0,15.512,4,12,27
2017-12-28,0,14.478,4,12,28
2017-12-29,0,11.676,4,12,29
2017-12-30,1,11.03,4,12,30
2017-12-31,1,9.42,4,12,31
2018-01-01,0,16.583,1,1,1
2018-01-02,0,9.163,1,1,2
2018-01-03,0,17.01,1,1,3
2018-01-04,0,16.951,1,1,4
2018-01-05,0,15.936,1,1,5
2018-01-06,1,17.213,1,1,6
2018-01-07,1,45.477000000000004,1,1,7
2018-01-08,0,34.872,1,1,8
2018-01-09,0,45.265,1,1,9
2018-01-10,0,41.139,1,1,10
2018-01-11,0,14.855,1,1,11
2018-01-12,0,12.961,1,1,12
2018-01-13,1,11.542,1,1,13
2018-01-14,1,17.199,1,1,14
2018-01-15,0,10.365,1,1,15
2018-01-16,0,17.321,1,1,16
2018-01-17,0,20.755,1,1,17
2018-01-18,0,14.004,1,1,18
2018-01-19,0,12.524,1,1,19
2018-01-20,1,10.261,1,1,20
2018-01-21,1,10.292,1,1,21
2018-01-22,0,8.491999999999999,1,1,22
2018-01-23,0,8.49,1,1,23
2018-01-24,0,10.734,1,1,24
2018-01-25,0,13.175,1,1,25
2018-01-26,0,9.279,1,1,26
2018-01-27,1,9.914,1,1,27
2018-01-28,1,10.051,1,1,28
2018-01-29,0,11.148,1,1,29
2018-01-30,0,11.863999999999999,1,1,30
2018-01-31,0,10.778,1,1,31
2018-02-01,0,14.091,1,2,1
2018-02-02,0,8.86,1,2,2
2018-02-03,1,8.174999999999999,1,2,3
2018-02-04,1,19.771,1,2,4
2018-02-05,0,16.391,1,2,5
2018-02-06,0,24.751,1,2,6
2018-02-07,0,36.444,1,2,7
2018-02-08,0,35.36,1,2,8
2018-02-09,0,30.686,1,2,9
2018-02-10,1,48.5215,1,2,10
2018-02-11,1,11.006,1,2,11
2018-02-12,0,14.204,1,2,12
2018-02-13,0,11.632,1,2,13
2018-02-14,0,9.918,1,2,14
2018-02-15,0,7.994,1,2,15
2018-02-16,0,16.589,1,2,16
2018-02-17,1,12.674,1,2,17
2018-02-18,1,14.337,1,2,18
2018-02-19,0,11.799,1,2,19
2018-02-20,0,11.896,1,2,20
2018-02-21,0,8.785,1,2,21
2018-02-22,0,10.445,1,2,22
2018-02-23,0,8.161999999999999,1,2,23
2018-02-24,1,9.576,1,2,24
2018-02-25,1,12.158,1,2,25
2018-02-26,0,8.146,1,2,26
2018-02-27,0,8.796,1,2,27
2018-02-28,0,15.771,1,2,28
2018-03-01,0,13.411999999999999,1,3,1
2018-03-02,0,11.677,1,3,2
2018-03-03,1,12.616999999999999,1,3,3
2018-03-04,1,12.83,1,3,4
2018-03-05,0,15.896,1,3,5
2018-03-06,0,49.992,1,3,6
2018-03-07,0,40.161,1,3,7
2018-03-08,0,40.504,1,3,8
2018-03-09,0,16.959,1,3,9
2018-03-10,1,51.3906,1,3,10
2018-03-11,1,12.57,1,3,11
2018-03-12,0,12.558,1,3,12
2018-03-13,0,8.905,1,3,13
2018-03-14,0,8.607,1,3,14
2018-03-15,0,9.405999999999999,1,3,15
2018-03-16,0,14.136,1,3,16
2018-03-17,1,20.419999999999998,1,3,17
2018-03-18,1,17.431,1,3,18
2018-03-19,0,16.754,1,3,19
2018-03-20,0,13.514,1,3,20
2018-03-21,0,8.726999999999999,1,3,21
2018-03-22,0,11.184,1,3,22
2018-03-23,0,9.439,1,3,23
2018-03-24,1,14.149,1,3,24
2018-03-25,1,15.902999999999999,1,3,25
2018-03-26,0,18.38,1,3,26
2018-03-27,0,19.446,1,3,27
2018-03-28,0,11.701,1,3,28
2018-03-29,0,9.115,1,3,29
2018-03-30,0,6.02,1,3,30
2018-03-31,1,7.035,1,3,31
2018-04-01,1,10.94,2,4,1
2018-04-02,0,9.061,2,4,2
